arabic,english
شكرا علي اي حال,thanks anyway
من لا يهمه المال,who doesnt care about money
ترك الباب مفتوحا,he left the door open
اعطتني الممرضه حقنه,the nurse gave me a shot
اجني مئه يورو في اليوم,i make 100 a day
تاخرنا علي المدرسه بسبب المطر الغزير,we were late for school because it rained heavily
انا ذاهب للجري,im going to run
انا متاكد اني ساكون بخير,im sure ill be fine
انا اعلم اين انت,i know where you are
الجو حار جدا صحيح,its very hot isnt it
علي العثور عليها,i have to find it
علينا ايصاله الي المستشفي قبل فوات الاوان,we have to get him to the hospital before its too late
اعتقد غير ذلك,i think otherwise
انها لم تكن اول مره ولن تكون الاخيره,it wasnt the first time and it wont be the last
توم يلعب الصحن الطائر,tom is playing frisbee
ينبغي ان تحاول تكوين عاده لاستخدام قواميسك,you should try to form the habit of using your dictionaries
انه يعيش في طوكيو,he lives in tokyo
اين الرئيس,wheres the boss
هيا ادخل,come on in
هل يحب توم الطماطم,does tom like tomatoes
عرض هذا النهر ميل,this river is one mile across
لا تجادل,dont argue
دعينا فقط نتظاهر وكاننا لا نعرف بعضنا البعض,lets just pretend like we dont know each other
اذهب كل سنه,i go every year
انتهيت لتوي من مشاهده الحلقه الثالثه,ive just finished watching episode three
لا تستخدم قلمي,dont use my pen
انه قوي,hes strong
هل سيعود يوما ما,will he ever come back
لدينا فرصه,we have a chance
انها ميته منذ عشر سنوات,she has been dead for ten years
الق السكين,drop the knife
استطيع القفز,i can jump
انتحرت عن عمر ينازه الثلاثين عاما,she killed herself at the age of thirty
لعبنا كره السله بالامس,we played basketball yesterday
توم مؤكدا يستحق المدح,tom certainly deserves praise
اخر شخص اخبرته فكرتي ظنني مجنونا,the last person i told my idea to thought i was nuts
هل لديك حذاء بحجم قدمي,do you have these shoes in my size
هذا ما نستخدمه دائما,thats what weve always used
اتحس بوجع في بطنك,do you feel any pain in your stomach
هما في نفس العمر,they are the same age
عاده ما تكره القطط الكلاب,cats usually hate dogs
اسرع و الا فاتنا القطار,hurry up or well miss the train
عصفور في اليد خير من عشره علي الشجره,a bird in the hand is worth two in the bush
بقي القليل من الحليب في الزجاجه,there is little milk left in the bottle
لكل صارم نبوه,even homer sometimes nods
انا رجل حر,im a free man
هذه هي النهايه,this is the end
نحن نحتاج الي المطر,we need the rain
سميت علي عمي,i was named after my uncle
توجب علي توم ان يتخذ قرارا,tom had to make a decision
لا استطيع الانتظار لمقابلتك,i cant wait to meet you
اخرجت قلما من جيبها,she took a pen out of her pocket
انا اقول الحقيقه,im telling the truth
اراك في البيت,see you at home
جلس توم علي الكرسي المتحرك,tom got into the wheelchair
عمري تسعه عشر عاما,i am 19 years old
طلبت مني ان اوقظها عند السادسه,she asked me to wake her at six
سله عندما تراه,cheer him up when you see him
لم ابقيت هذا سرا,why did you keep that a secret
افسح الطريق من فضلك,make way please
اخبرني كيف احل هذه المساله,tell me how to solve the problem
لقد اتهم بسرقه عظام الديناصورات,he was accused of stealing dinosaur bones
لقد اكلنا هناك ثلاث مرات,we have eaten there three times
مات عمي منذ سنه,my uncle died a year ago
اخرج مفتاحا من جيب معطفه,he took a key from his coat pocket
ساقلك بعد العمل,ill pick you up after work
اعطني ايضا بعض الحليب,give me some milk too
صوبت مسدسي نحو الهدف,i aimed my gun at the target
انا اتتطلع لافعل هذا مجددا,im looking forward to doing this again
هل اصبت بالرصاص,have you been shot
لماذا تتاخر دائما,why is it that youre always late
القليل يعرف الخطه,few people know about the plan
يبدو لي ان جميعكم مخطئون,it appears to me that you are all mistaken
لم تعد تسكن هناك,she doesnt live there any more
توم كثير الكلام,tom is very talkative
ان لعب كره المضرب ممتع,playing tennis is a lot of fun
ابقيناهم صامتين,we kept them quiet
احبك,i do love you
يقولون ان في كل سنه اعداد السياح في تشرين الاول تكون الاعظم,they say that every year the number of tourists is greatest in october
الديك بطاقه ائتمان,do you have a credit card
يسافر ابي الي الخارج احيانا,my father sometimes goes abroad
ما الذي حصل,what happened
توم تم توبيخه بواسطه مديره بسبب تاخره عن العمل,tom was scolded by his boss for showing up late for work
انها تقوم بصرف الكثير من المال علي الكتب,she spends a lot of money on books
انت لم تعمل بما فيه الكفايه,you didnt work hard enough
تلقي توم ثلاثه هدايا بمناسبه عيد مولده,tom got three presents for his birthday
البلده دائما ما تدب بالسياح,the town is always crawling with tourists
تعال و اجلس معنا,come sit with us
لم يكن توم جائعا حقا,tom wasnt really hungry
هل تتحدث الاسبانيه,do you speak spanish
مالذي جعلك تقول شيئا غبيا كهذا,what made you say such a stupid thing as that
الحجز مطلوب,reservations are required
اهناك شيء تريد شراءه,is there something you want to buy
ايمكنك تعليمي الانجليزيه,can you teach me english
سقط توم علي الارض,tom fell down on the floor
لن يحل القتال اي شيء,fighting wont settle anything
انت ملاك,youre an angel
ليس هناك اي صابون,there isnt any soap
يقول توم بانه علي استعداد لعمل اي شيء من اجلي,tom says hes willing to do just about anything for me
لا تتدخل,you keep out of this
يزرع البرتقال في كاليفورنيا,they grow oranges in california
عودوا الي اماكنكم,go back to your seats
لنتقابل هنا مره اخري في الغد,lets meet here again tomorrow
سابقي معك الي الابد,ill be with you forever
انا خجول قليلا,im a bit shy
هل حللت واجبك بنفسك,did you do your homework by yourself
دعنا لا نشاهد التلفاز,lets not watch tv
توم عامل بناء,tom is a construction worker
انا استيقظ مبكرا جدا,i wake up very early
انتظرت لثلاثه ايام,ive waited for three days
سمينا ابننا علي اسم جدي,we named my son after my grandfather
سوف ابقي في المنزل,i will stay at home
عليك ان تحكم بنفسك,you must judge for yourself
خرج مسرعا,he went out in a hurry
لا يمكنني فعل ذلك,i cant do it
لدي كلب و قطه,i have a dog and a cat
بامكانه قياده السياره,he can drive a car
عليك البدء في الحال,you should begin right away
بيتي بالقرب من المدرسه,my house is near the school
اثر في لطفها,her kindness touched me
انه مظلم جدا,its so dark
انا حامل في الشهر الرابع,i am four months pregnant
انت تبدو مكتئبا,youre looking down
تدفات علي النار,she warmed herself by the fire
حلقت الطيور في كل اتجاه,the birds flew away in all directions
اكان الجو غائما في طوكيو البارحه,was it cloudy in tokyo yesterday
من الصعب ترجمه القصائد الشعريه الي لغه اخري,it is difficult to translate a poem into another language
لنلعب كره المضرب بعد المدرسه,lets play tennis after school
مدريد عاصمه اسبانيا,madrid is the capital of spain
هذا الماء لذيذ,this water is delicious
ارني الصور من فضلك,show me the photos please
بدا توم بتعلم الفرنسيه عندما كان عمره ثلاثه عشره سنه,tom needs a ride to boston
علي مساعده ماري,i have to help mary
اوشكت شاحنه علي دهسي,i was nearly run over by a truck
الغوا زيارتهم الي لندن,they called off their visit to london
لقد رايتك بمكان ما من قبل,ive seen you somewhere before
لو لم يسبق لي ان اكل لكنت احببت التغدي معك,if i hadnt already eaten i would love to have had lunch with you
يظن توم ان علي ماري الاعتذار من جون,tom thinks mary should apologize to john
اريد العيش هنا,i want to live here
اعرف اسمه,i know his name
في اي وقت ينتهي صفك,what time does your class end
انا اتتطلع لقضاء وقت مع اسرتي,im looking forward to spending time with my family
هل افتقدتني,did you miss me
انا بخير,im ok
عملت بجد الشهر الماضي,i worked hard last month
امض اسمك في الاسفل اذا سمحت,sign at the bottom please
يذهب توم الي بوسطن كثيرا,tom often goes to boston
اتساءل اين وضعت نظاراتي,i wonder where i put my glasses
ايمكنني الجلوس,may i sit down
ان ذلك بالطبع صحيح,thats absolutely right
اعطيت توم كل شيء,i gave tom everything
شكرا جزيلا,many thanks
هي و اصدقاءها يحبون الموسيقي,she and her friends love music
هو متهور,he is a daredevil
اتوقع مساعدتك,i expect your help
نحن في حرب,were at war
انا جائع جدا,im very hungry
لا استطيع ان اعيش ذلك النوع من الحياه,i cant live that kind of life
من فضلك وزع الورق,please deal the card
هذا ما وجدته في الكهف,this is what i found in the cave
لا يوجد شخص معصوم من الخطا,nobodys perfect
كل اصدقائي يحبون لعب كره القدم,all of my friends like soccer
بالنسبه لي انه مهم,for me its important
مرحبا,welcome
انه يقود بسرعه عاليه,he drives very fast
من هو احب عازفي البيانو اليك,whos your favorite pianist
تتكاثر الفئران بسرعه,rats breed rapidly
تلك المراه العجوز تعيش لوحدها,that old woman lives by herself
لم يعد هناك الا القليل من الحليب,theres only a little milk left
من ساعدك ايضا,who else helped you
ما الذي حصل له,what happened to him
ساقرضك مال هذه المره فقط,i will lend you money just this once
مرر الي الزبده اذا سمحت,pass me the butter please
قال توم بانه لم يري شيئا,tom said he saw nothing
اين توم,wheres tom
ما هو مهم ليس الهدف ولكن الرحله,whats important is not the goal but the journey
هل بامكانك ان تري الفرق,can you see the difference
ليس الامر صعبا الي هذه الدرجه,its not rocket science
توم لا يعرفني,tom doesnt know me
من تلك المراه التي ترتدي فستانا ورديا,who is the woman dressed in pink
من تكون تلك الفتاه الجالسه هناك,whos that girl sitting over there
اغلق الباب من فضلك,please shut the door
لا احب ما يجري,i dont like whats going on
تغيرت حياتي بشكل هام,my life has changed quite a lot
لم انت متعب اليوم,why are you so tired today
انه يريد الانتقام,he wants vengeance
اراك الاسبوع القادم,see you next week
هلا نصحتني بطبيب جيد,can you recommend a good doctor
انتهي المؤتمر عند الخامسه,the conference ended at five
فهمت سبب هذا,i understood the reason for this
هذا امر عليك تذكره,thats something you need to remember
اسمي لم يظهر في القائمه,my name doesnt appear on the list
من الافضل ان تغادر ان الوقت متاخر,youd better go its getting late
رايتك في الخارج,i saw you outside
القلم مكسور,the pen is broken
اعتقد انه سيصبح غنيا يوما ما,i believe he is going to be rich one day
تعطلت السياره,the car broke down
الست عطشا,arent you thirsty
سد علي الطريق,he blocked my way
اتعتقد ذلك,do you think so
انا لدي صديق في انجلترا,i have a friend in england
ايمكنني استعاره مضربك للتنس اليوم,can i borrow your tennis racket today
خذ ما تريد,take what you want
جهاز تحكم التلفاز تحت الاريكه,the tv remote control is under the couch
ماذا تريد بعد,what else do you want
هل انت ات,are you coming
انا رجل سهر,im a night owl
دعينا نستعد للذهاب,lets get ready to go
انظر الي هذا المنزل,look at that house
النساء داعمات جدا,the women are very supportive
اخبرتني انها تريد كلبا اليفا,she told me that she wanted a pet dog
انخفضت الاسعار في سوق الاسهم اليوم,the stock market has dropped today
ساساعدك ان امكن,ill help you if possible
اتذكر اني رايتها,i remember seeing her
لدينا مشكله,we have a problem
كيف سنسدد ديوننا الان,how will we pay our debts now
علي مقابله توم في بوسطن يوم الاثنين القادم عند 230,im supposed to meet tom in boston next monday at 230
انا سائح,i am a tourist
كم طالبا في فصلك,how many are there in your class
من الممكن ان يكون ما تقوله صحيح,you may be right
احتاج لمزيد من الوقت لانجز فروضي,i need more time to finish my homework
احب قراءه الكتب,i love reading books
انت لديك رؤيه افضل مني,you have better sight than me
غدا عيد الام,tomorrow is mothers day
لا احد يملك القمر,nobody owns the moon
هل لي ان اخذ صوره,may i take a photo
انها معتاده علي السهر,she is used to staying up late
اخجل من تصرف ولدي,i am ashamed of my sons conduct
هلا تزوجتني,will you marry me
انه مشغول بفعل شيء ما,he is busy doing something
هذا امر مسلم به,its an indisputable matter
ستغادر الطائره الساعه السادسه,my plane leaves at six oclock
ماذا تعمل,whats your job
لقد فاجات الجميع,you surprised everybody
كذب علينا,he lied to us
انه مريض,he is sick
هل توم دائما يتكلم من اجلك,does tom always speak for you
حاولت قتل نفسها,she attempted to kill herself
اشعر بانتعاش تام بعد ان قضيت اسبوعا في البلاد,i feel completely refreshed after spending a week in the country
انعطفت يمينا,i turned right
كل منهم لديه سيارته الخاصه,each of them has his own car
يستطيع كل اصدقائي التحدث بالفرنسيه,all my friends can speak french
شكرا لك علي الامسيه الرائعه,thank you for the pleasant evening
عندي بيت,i have a house
هل تسمح لي بالذهاب الان,will you please let me go now
هذا مشروع حكومي,this is a government project
انا غادرت شانكاهاي العام الماضي ولم اعد بعد,i left shanghai last year and have not yet been back
اين كنت,where were you
لست كبيرا بما يكفي لتحصل علي رخصه قياده,youre not old enough to get a drivers license
لقد احتالت عليه,she swindled him
فقد الامريكيون ثقتهم في تويوتا,americans have lost their trust in toyota
اشتريت لها ساعه,i bought her a clock
هذه السكين حاده جدا,this knife is very sharp
انا متاكد انك محق,im sure youre right
غالبا سيهطل الثلج غدا,it will probably snow tomorrow
هذا اللون لا يناسبني,that color doesnt look good on me
ان الارضيه الخشبيه جميله,a wood floor is beautiful
يمكنك دائما ان تساليني عن المساعده,you can always ask me for help
سيتزوج توم يوم الاثنين,tom is getting married on monday
هذا السؤال ليس سهلا,this question is not easy
توم كثير الاهتمام بالميثولوجيا اليونانيه,tom is really interested in greek mythology
ربما ستمطر غدا,it may rain tomorrow
افضل العمل وحدي,i prefer to work on my own
احاول المساعده فحسب,im trying to help
كانت علي وشك ان تخرج,she was about to go out
القي نظره,take a look
كلنا مقتنعون بانه مذنب,we are all convinced that hes guilty
اشترت لي امي فستانا جديدا,my mother bought me a new dress
علينا الذهاب الي هناك شئنا ام ابينا,we must go there whether we like it or not
ماذا كانت وظيفتك في الماضي,what did you do for a living
لا شيء يماثل كاسا من الجعه بعد جهد يوم كامل,there is nothing like a glass of beer after a whole days work
الجواب صحيح,the answer is right
من فاز,who won
في حاله الحريق اتصل بمحظه المطافي,in case of fire telephone the fire station
اشاهد التلفاز,i am watching television
لا اعرف هذه اللعبه,i dont know this game
ظل الولد ساكنا,the boy remained silent
اتصل بي غدا,call me tomorrow
ارغمني ابي علي غسل السياره,my father made me wash the car
الباقي عليك,the rest is left to you
ليس لتوم هر ولا كلب,tom doesnt have either a cat or a dog
حصلت علي هذه الدراجه مجانا,i got this bicycle for free
ضلت طريقها,she lost her way
تبدو سعيدا,you look happy
وصلنا اولا,we arrived first
لا تستخف بتوم ابدا,never underestimate tom
لا بد انه مشتاق الي بيته,he must be homesick
لا اريد ان انتظر هذا اطول,i dont want to wait that long
ساتصل بك,ill call you
انا كبير بما يكفي,im old enough
يجب ان لا تنام,you should not sleep
انها في غايه المهاره,she is very clever
دائما ما يصدق,he always tells the truth
توم دائما يصرخ عندما يكون غاضبا,tom always shouts when he is angry
حاول مره اخري,try it again
تتكلم و كانك رئيسنا,you talk as if you were the boss
ستمطر الليله,it will rain tonight
الجميع يحبها,she is loved by everyone
هذه الفكره ليست منطقيه,this idea is not rational
هيا ادخل,come on in
كف عن ازعاج والدك,stop bothering your father
تلك كتبهم,those books are theirs
هذا هو المفتاح الذي يفتح الباب,this is the key that opens that door
توم كان حب ماري الاول,tom was marys first love
انها جميله جدا,she is very beautiful
اعرف اسمك,i know your name
كل شيء فقد,everything was lost
الرياضه مفيده للصحه,sport is good for your health
ضحك كل من توم وماري,tom and mary both laughed
هل استطيع ان اتي,may i come in
فرحت عمتي بنجاحي,my aunt was pleased with my success
كل ما عليك القيام به هو الانتظار,all you need to do is wait
اريد ان تخرج من المدينه,i want you to get out of town
ساتارو هو من بيننا نحن الخمسه الاسرع ركضا,satoru is the fastest runner out of the five of us
يا لك من ملاك,youre an angel
مطعمنا افضل من ذاك المطعم,our restaurant is better than that restaurant
احدهما ياباني و الاخر ايطالي,one is japanese and the other is italian
انه من الممتع الخروج معه,its fun to go out with him
ابتسم,smile
هذه الكتب جديده,these books are new
الطفل خائف من الظلام,the child is afraid of the dark
افعل ما يقوله توم,do what tom says
يوجد في هذا المتجر حلوي اكثر من المتجر الاخر,this shop has more candy than that shop
هو فرنسي,he is french
انه ياتي ليصنع مشكله,hes come to make trouble
انها لا تحب الفلفل الاخضر,she hates green peppers
اين المدرسه,where is the school
دعنا نخرج من هنا قبل ان يرانا توم,lets get out of here before tom sees us
تحدثنه عن بعض الاشياء,we talked about a lot of things
اذهب بعيدا,go away
هل تعلم لماذا,do you know why
خرجت مع اصدقائها,she left with her friends
تذكرت الان,now i remember
اظنكما تعرفان بعضكما,i thought you two knew each other
توم اقنع بسهوله ماري انه كان بريئا,tom easily convinced mary that he was innocent
من اين انت,where do you come from
توقفي عن الصراخ,stop yelling
اصطحب اخته,he took his sister along
اعندك غرفه تخصك,do you have a room of your own
لقد كبرت,how youve grown
هل ترغبين في الرقص معي,would you like to dance with me
ماذا كنت تفعل,what were you doing
دعونا نصنع تجاره,lets make a trade
نحن نعمل لاجل السلام,we are working in the interest of peace
ادرس ثلاث ساعات في اليوم,i study for 3 hours every day
انك تعيش مره واحده لا غير,you only live once
لقد قمت بعمل رائع,you did an excellent job
تحركوا خاطفو الطائره الي مؤخره الطائره,the hijackers moved to the rear of the plane
كان مرتديا اللون الازرق,he was dressed in blue
سالته ان كان يعرف اسمي,i asked him if he knew my name
سالتني سؤالا,she asked me a question
نحن نتعلم بالتجربه,we learn by experience
ارجو ان تتصل بي ان اردتني,please call me up if you want me
اعرف اسمه,i know his name
عشت هنا لعشر سنين,i have lived here for ten years
هل ستبقي في المنزل اذا امطرت غدا,if it rains tomorrow will you stay at home
انه اخر من اطلب منه المساعده فهو شخص لا يعتمد عليه,hes the last person i would ask help from because he is completely unreliable
لا تقرا في تلك الغرفه,dont read in this room
ان لم يكن هناك ما تفعله لم لا تقرا كتابا,if you have nothing to do why not read a book
استلقي علي السرير,he lay on the bed
اخلع ملابسك,take off your clothes
اذاهب انت معنا,will you be going with us
كان ذلك فارا,it was a mouse
هل انت ماهر في لعب التنس,are you good at tennis
هل ابوها طبيب,is her father a doctor
من فضلك اقفل الباب بهدوء,please close the door quietly
كان ذلك مساء خريفي جميل,it was a lovely autumn evening
لقد تسلقت جبل فوجي,ive climbed mt fuji
خذ الطريق المختصر,take a short cut
توم في غرفته يكتب رساله لجدته,tom is in his room writing a letter to his grandmother
يجب ان اعرف لماذا تحتاج هذا,i need to know why you need this
لقد تم قصف المنطقه المحيطه هنا,the area around here was bombed
لم نكمل ما علينا انجازه بعد,we havent finished what we have to do yet
ارفع يدك اليسري,raise your left hand
اشك في ان يستطيع احد فعل ذلك,i dont think anybody could do that
ماذا كنت ستفعل لو كنت في مكاني,if you were in my place what would you do
لدي ابنه متزوجه من رجل فرنسي,i have a daughter whos married to a frenchman
انت صديقي المفضل,you are my best friend
اين الفتيات,where are the girls
هل ستذهب الي امريكا الشهر القادم,will you go to america next month
يعيش في عالم من الخيال,he lives in a world of fantasy
انقطع اتصالي بالانترنت,my internet connection was cut off
ليس من السهل تعلم لغه جديده بعد سن الخمسين,its not that easy to learn a new language after fifty
اني اعتمد عليك,im depending on you
يعمل ابي واخي في هذا المصنع,my father and my brother work in this factory
طعام العشاء ساشتريه انا,ill pay for lunch
لا يمكنني رؤيته,i cant see it
اشتري عمي البارحه كلبا,yesterday my uncle bought a dog
لقد انتهيت للتو من تناول الافطار,ive just finished eating breakfast
يصبح الجو ادفا يوما بعد يوم,it is getting warmer day by day
وصلت هنا مساء الاثنين,i got here monday night
اتمشي في الحديقه,im taking a walk in a park
اسف ساعتي ليست معي,im sorry i dont have my watch with me
يمثل ادراك اوجه الانسانيه المشتركه فيما بيننا بطبيعه الحال مجرد البدايه لمهمتنا,of course recognizing our common humanity is only the beginning of our task
هل يجب ان تكتب هذه الرساله بالانجليزيه,does this letter have to be written in english
ما الذي قلبها عليك,what turned her against you
لا تنم والنوافذ مفتوحه,dont sleep with the windows open
دفع عشره دولارات فقط لذلك القميص,he only paid ten dollars for that shirt
لقد تعاملت مع توم سابقا,ive done business with tom before
اذا سمحت اريد ابدال هذا بمقاس اكبر,if its possible id like to exchange this for a larger size
لم احب ماده الاحياء قط,i never liked biology
لن ياتي اليس كذلك,he wont come will he
هل تحتاج لمساعده,may i help you
هذه اقلامي,these are my pencils
لنذهب بالحافله,lets go by bus
تركت لي امي رساله,my mother left me a message
لست مشغولا صحيح,you arent busy are you
لا احد يدعني احصل علي المتعه بعد الان,no one lets me have fun anymore
لدي اخ,i have a brother
بني هذا الفندق العام الماضي,this hotel was built last year
هي تعرضت الي نوبه قلبيه,she had suffered a heart attack
انا ذاهب,im going to go
ايمكنني ان استعير مضرب التنس خاصتك لليوم,can i borrow your tennis racket today
انه لا يقصد ان يعامل الاخرين بقسوه انها طبيعته فحسب,he doesnt mean to be mean its just his nature
انا و انت في نفس العمر,you and i are the same age
اجابت و هي تبكي,she answered in tears
ماذا ستاكلون علي الغداء,whats everyone eating for lunch
فكر بذلك,think about it
لا تحكم بظواهر الامور,dont judge by appearances
دعينا نتقاسم النفقات,lets share the expenses
هل يمكنني ان اسال الي اين انت ذاهبه,may i ask where are you going
الصخور الواقعه تشكل خطرا علي المتسلقين,falling rocks present a danger to climbers
احضر اولادك معك,bring your children along
انا هنا من اجلك,im here for you
هذا تخصصه,thats his specialty
لم يستطع ان يسيطر علي غضبه,he could not control his anger
لم تبن روما في يوم,rome wasnt built in a day
ماذا فعلت عندما رجعت الي منزلك امس,what did you do when you got back home yesterday
لا اظن ذلك,i dont think so
انه يتصرف بغرابه,hes behaving oddly
وجدت طابه في الحديقه,she found a ball in the garden
انا اعرف عنوانها,i know her address
تحدث معي بالانجليزيه رجاء,please speak to me in english
لم يكن الجو حارا ليله الامس,it wasnt very hot last night
اعطني مهله,give me a break
يستحق توم ترقيه,tom deserves a promotion
شكرا علي الشراب,thanks for the drink
هل سبق لك ان ذهبت الي لندن,have you been to london
احاول ترك مكان للحلوي,im trying to save room for dessert
اود منك مساعده توم,id like you to help tom
التنين حيوان خرافي,the dragon is an imaginary creature
شعرها مبلول,she has wet hair
لمن هذين الحذائين,whose shoes are these
هل ذاك المكان بعيد عن المصرف,is this place far from the bank
لم اجد صعوبه في العثور علي مكان بيتك,i had no difficulty finding your house
لقد كان حقا سريعا جدا,it was really quite fast
هذه نكته,this is a pun
هل تعرف ما الذي حصل,do you know what happened
والدته كانت تخجل منه,his mother was ashamed of him
افضل ركوب الدراجه,i prefer biking
لا يستطيع احد ان ينكر هذا,no one could deny this
هل لتوم ابنه اسمها ماري,does tom have a daughter named mary
القت الشرطه القبض علي الرجل الذي قتل الفتاه,the police arrested the man who had murdered the girl
يستحسن الا تنتظر هنا,youd better not wait here
الارمل هو رجل ماتت زوجه,a widower is a man whose wife has died
هل تملك كمانا,do you have a violin
الغريق يتعلق بقشه,a drowning man will catch at a straw
ولي فصل الصيف,summer has ended
ما الذي تراه فيه,what do you see in him
ليس بمقدور توم كتابه اسمه بعد,tom isnt yet able to write his own name
لا تقلق بشان كلبي هو لن يسبب لك اي ضرر,dont worry about my dog he wont do you any harm
هذه الكلمه لها معنيان,this word has two meanings
كيف تجرا علي شتم اختي,how dare you insult my sister
من فضلك فكر في الامر,please think about it
حكم الملك البلد,the king governed the country
في ماذا تفكر,what are you thinking about
سيكلفك ذلك ثلاثين يورو,this will cost 30
قطعت امي الكعك,my mother cut the cake
البحيره عميقه هنا,the lake is deep here
حتي الاطفال يمكنهم فهم ذلك,even children can understand it
هذه التفاحه طعمها حامض,this apple tastes sour
صلصه غواكامولي هي صلصه مصنوعه من الافوكادو,guacamole is a dip made from avocados
كم كتابا قرات,how many books did you read
دائما ما تتوقع حدوث المشاكل,youre always anticipating trouble
لقد ارسلت اليك بريدا الكترونيا,i sent you an email
يحب اخي مشاهده افلام الرعب,my brother likes horror movies
كم هذا محرج,how embarrassing
رب ضاره نافعه,every cloud has a silver lining
تشجع,you can do it
اتصل بي حالما تجد توم,call me as soon as you find tom
قررت ان اصبح طبيبا,i decided to be a doctor
يجدر بك ان تضع في حسبانك انك لم تعد شابا,you had better take into consideration that you are no longer young
هل علي ان اجيب علی اسئلتك كلها,do i have to answer all of the questions
احكي لي عن رحله سفرك من فضلك,please tell me about your trip
اعلم ذلك,i know
